latitude;longitude;Altitude;caida;Temperature_1;Temperature_2;Barometric_Pressure;pitch;rueda;yaw;Accelerometer_X;Accelerometer_Y;Accelerometer_Z
38.540585;-121.746696;-0.3;1;29.56232;29.785101;1010.120006;1.4076;-0.1564;-0.9844;0.0429;0.0702;-1.0062
38.540581;-121.746704;-0.3;1;29.568288;29.79517;1010.077119;1.38;-0.2024;-0.9844;0.0624;0.0897;-1.0023
38.540577;-121.746704;-0.8;1;29.574256;29.79517;1010.074712;1.426;-0.1472;-1.0488;0.0507;0.0702;-1.0023
38.540573;-121.746704;-1;1;29.586191;29.81531;1010.1025;1.38;-0.1564;-1.012;0.0624;0.0663;-0.9867
38.540569;-121.746704;-1.5;1;29.592159;29.82538;1010.097681;1.4076;-0.1748;-1.012;0.0507;0.0546;-0.9711
38.540573;-121.746704;-1;1;29.604093;29.82538;1010.138155;1.38;-0.1656;-1.0212;0.0507;0.0741;-0.9828
38.540573;-121.746696;-0.5;1;29.610059;29.84552;1010.10177;1.3708;-0.1564;-0.9844;0.0351;0.078;-0.9984
38.540573;-121.746696;-0.4;1;29.610059;29.84552;1010.099356;1.3984;-0.2024;-1.0028;0.0351;0.0936;-0.9711
38.540577;-121.746696;-0.7;1;29.616026;29.855591;1010.069157;1.4168;-0.1656;-0.9844;0.0546;0.0702;-0.9828
38.540585;-121.746689;-0.9;1;29.616026;29.86566;1010.050283;1.38;-0.1932;-1.0028;0.0468;0.0819;-0.975
38.540581;-121.746696;-1.7;1;29.627959;29.86566;1010.094526;1.3892;-0.1564;-1.0212;0.0429;0.0819;-0.9984
38.540577;-121.746696;-1.7;1;29.645856;29.86566;1010.035484;1.4168;-0.184;-1.012;0.0468;0.0702;-0.9789
38.540569;-121.746704;-1.6;1;29.651822;29.89587;1010.088629;1.3616;-0.1748;-0.9936;0.0429;0.0702;-0.9828
38.540562;-121.746712;-3.1;1;29.651822;29.91601;1010.069753;1.38;-0.1748;-1.0304;0.0507;0.0624;-0.9789
38.540558;-121.746712;-3.4;1;29.669717;29.91601;1010.115342;1.38;-0.1748;-0.9936;0.0468;0.0897;-0.9789
38.540565;-121.746704;-3.9;1;29.657787;29.91601;1010.02958;1.426;-0.2208;-0.9936;0.0468;0.0819;-0.9867
